kaynak,doviz_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,gunluk_degisim_tutari,guncellenme_tarihi
Kapalı Çarşı,Dolar,44.09,44.1,0.27,0.11874937668295615,2026-03-13T10:02:37.031Z
Kapalı Çarşı,Euro,50.45,50.5,-0.3,-0.15195586760280833,2026-03-13T10:02:38.207Z
Kapalı Çarşı,Sterlin,58.3128,58.6051,-0.36,-0.2117406262545174,2026-03-13T10:26:04.210Z
Kapalı Çarşı,İsviçre Frangı,55.7793,56.0589,-0.03,-0.016822716815042327,2026-03-13T10:25:58.194Z
Kapalı Çarşı,Japon Yeni,27.5775,27.7158,0.19,0.05256015570416395,2026-03-13T10:27:51.371Z
Kapalı Çarşı,Suudi Arabistan Riyali,11.7211,11.7799,0.28,0.0328916234543275,2026-03-13T10:23:48.779Z
Kapalı Çarşı,BAE Dirhemi,11.9768,12.0368,0.28,0.03360893498205009,2026-03-13T10:02:17.820Z
Kapalı Çarşı,Katar Riyali,12.0238,12.084,-0.18,-0.02179042276097043,2026-03-13T10:02:17.821Z
Kapalı Çarşı,Kuveyt Dinarı,143.1935,143.9113,0.26,0.37319906243766354,2026-03-13T10:27:21.496Z
Kapalı Çarşı,Gürcistan Larisi,16.2006,16.2819,0.28,0.04546202632628393,2026-03-13T10:02:17.821Z
